V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Class
Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,NaN,chiffon,ruffles,animal,2
Casual,Low,NaN,L,Summer,o-neck,Petal,natural,microfiber,NaN,ruffles,animal,1
vintage,High,NaN,L,Automn,o-neck,full,natural,polyster,NaN,NaN,print,1
Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,2
cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,1
bohemian,Low,NaN,M,Summer,v-neck,sleevless,empire,NaN,NaN,NaN,print,1
Casual,Average,NaN,XL,Summer,o-neck,full,NaN,cotton,NaN,NaN,solid,1
Novelty,Average,NaN,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,NaN,1
Flare,Average,NaN,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,2
bohemian,Low,NaN,free,Summer,v-neck,sleevless,natural,nylon,chiffon,NaN,NaN,2
party,Average,5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,1
Flare,Average,NaN,free,Spring,v-neck,short,NaN,nylon,NaN,NaN,animal,1
sexy,Low,4.7,M,Winter,o-neck,threequarter,NaN,NaN,chiffon,lace,print,2
vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,NaN,animal,2
Casual,Low,5,M,Summer,boat-neck,short,NaN,cotton,NaN,sashes,solid,1
Casual,Low,NaN,free,Winter,boat-neck,full,NaN,other,other,lace,NaN,1
cute,Average,4.7,L,spring,o-neck,short,NaN,cotton,NaN,sashes,solid,2
bohemian,Medium,5,free,Automn,o-neck,full,natural,NaN,NaN,hollowout,patchwork,2
Brief,Average,NaN,M,Winter,peterpan-collor,threequarter,natural,cotton,NaN,NaN,patchwork,1
Sexy,Average,5,M,Automn,o-neck,sleevless,empire,milksilk,NaN,NaN,NaN,2
Sexy,Average,4.5,L,Automn,o-neck,full,NaN,cotton,NaN,beading,solid,1
Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,NaN,chiffon,NaN,solid,1
Brief,Low,4,XL,Summer,v-neck,short,natural,cotton,NaN,pockets,solid,1
Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,NaN,sequined,solid,2
Sexy,Average,NaN,free,Automn,v-neck,sleevless,natural,polyster,NaN,lace,patchwork,1
Sexy,Average,NaN,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,NaN,print,1
Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,NaN,NaN,NaN,solid,2
Casual,Low,NaN,L,Summer,o-neck,sleevless,natural,cotton,jersey,NaN,print,1
cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,1
cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,2
Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,1
Casual,Low,NaN,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,2
Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,1
Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,NaN,NaN,bow,solid,2
party,High,4.7,M,Spring,o-neck,threequarter,NaN,NaN,NaN,NaN,print,1
Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,NaN,NaN,patchwork,2
vintage,Average,4.6,free,Winter,o-neck,full,natural,NaN,chiffon,NaN,print,2
Brief,Average,NaN,M,Automn,o-neck,short,natural,cotton,NaN,NaN,print,1
party,Average,4.6,M,Winter,o-neck,sleevless,natural,cotton,NaN,lace,solid,2
Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,NaN,button,solid,2
Brief,Average,5,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,2
Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,1
Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,1
Casual,Low,4.8,free,Spring,o-neck,sleevless,natural,cotton,NaN,NaN,print,1
vintage,Average,4.8,M,Winter,o-neck,sleevless,natural,cotton,NaN,NaN,patchwork,2
Sexy,Average,NaN,M,Winter,o-neck,short,natural,NaN,NaN,lace,solid,1
Sexy,Average,4.8,L,Spring,v-neck,threequarter,empire,polyster,NaN,lace,geometric,1
Casual,Average,NaN,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,2
Casual,Low,4.7,M,Summer,o-neck,sleevless,empire,milksilk,NaN,NaN,solid,1
Casual,Medium,NaN,L,Winter,boat-neck,full,empire,NaN,NaN,NaN,solid,2
Sexy,Low,5,free,Summer,v-neck,sleevless,empire,NaN,chiffon,NaN,animal,2
Casual,Low,4.3,free,Summer,o-neck,sleevless,NaN,milksilk,NaN,NaN,animal,1
Casual,Average,NaN,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,2
Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,2
sexy,Average,4.5,M,Spring,o-neck,threequarter,natural,polyster,NaN,lace,geometric,1
Novelty,Average,NaN,S,Winter,turndowncollor,full,natural,cotton,NaN,NaN,patchwork,1
Casual,Average,4.9,S,Winter,turndowncollor,full,natural,cotton,NaN,NaN,solid,2
sexy,Low,4.6,L,Automn,o-neck,sleevless,natural,NaN,NaN,lace,solid,2
bohemian,Low,4.5,M,Summer,v-neck,sleevless,natural,polyster,NaN,NaN,print,2
work,Average,NaN,M,Automn,slash-neck,sleevless,natural,polyster,NaN,bow,patchwork,1
cute,High,NaN,M,Spring,v-neck,full,natural,rayon,NaN,NaN,solid,2
Casual,Average,NaN,free,Spring,o-neck,short,natural,cotton,NaN,hollowout,plaid,1
Casual,Average,5,M,Summer,o-neck,short,empire,polyster,chiffon,NaN,animal,1
Casual,Average,4.7,M,spring,o-neck,sleevless,natural,NaN,chiffon,sashes,solid,1
Sexy,Low,4,S,Automn,o-neck,sleevless,empire,cotton,NaN,NaN,solid,2
Casual,Average,5,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid,1
Casual,Low,NaN,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,1
Casual,Medium,4.5,S,Winter,o-neck,full,natural,polyster,NaN,NaN,patchwork,2
work,Average,4.8,L,Summer,v-neck,short,natural,polyster,NaN,hollowout,solid,1
Casual,Medium,NaN,M,Automn,v-neck,short,empire,polyster,NaN,NaN,solid,1
bohemian,Average,5,free,Summer,v-neck,sleevless,natural,cotton,batik,NaN,print,2
sexy,Low,NaN,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid,2
Sexy,Average,4.2,M,Winter,v-neck,sleevless,natural,cotton,flannael,NaN,solid,1
Casual,Low,4.8,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid,1
Casual,Low,4.4,S,Automn,o-neck,sleevless,natural,polyster,NaN,NaN,solid,1
Casual,Low,4.7,L,Spring,o-neck,short,NaN,chiffonfabric,chiffon,bow,dot,1
Casual,Average,5,XL,Winter,boat-neck,full,NaN,cotton,NaN,NaN,geometric,2
Casual,Low,NaN,free,Spring,v-neck,sleevless,NaN,cotton,NaN,NaN,print,1
Casual,Average,NaN,free,Spring,o-neck,sleevless,natural,NaN,chiffon,NaN,solid,1
bohemian,very-high,4.7,free,Winter,v-neck,sleevless,NaN,polyster,NaN,NaN,NaN,2
Casual,Low,5,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal,1
party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,1
Sexy,Low,5,free,Spring,o-neck,full,natural,cotton,worsted,NaN,striped,1
vintage,Low,4.6,M,Summer,o-neck,short,natural,NaN,chiffon,NaN,print,1
Casual,Average,NaN,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,1
Casual,low,4.9,L,Summer,boat-neck,short,NaN,NaN,chiffon,NaN,patchwork,2
Casual,Low,NaN,S,Automn,o-neck,full,natural,NaN,NaN,beading,solid,2
Sexy,Average,4,S,Automn,v-neck,sleevless,NaN,rayon,chiffon,NaN,patchwork,2
Sexy,Low,5,M,Automn,o-neck,full,natural,NaN,chiffon,lace,print,2
Brief,Average,4.6,M,Winter,peterpan-collor,threequarter,NaN,cotton,NaN,NaN,solid,1
Casual,Average,NaN,L,Spring,boat-neck,sleevless,natural,cotton,NaN,applique,patchwork,2
Casual,Average,4.8,L,Winter,o-neck,short,natural,cotton,NaN,pockets,solid,2
OL,Medium,NaN,M,Winter,mandarin-collor,halfsleeve,natural,cotton,NaN,sashes,solid,1
Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,natural,silk,NaN,NaN,solid,1
Casual,Medium,NaN,S,Spring,v-neck,full,NaN,NaN,NaN,NaN,animal,2
Casual,Medium,NaN,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,2
Casual,Average,NaN,M,Spring,o-neck,sleevless,natural,silk,NaN,NaN,print,1
